phenotype,metabolite,n,nm,nf,n_outlier,p_age,p_sex,p_bmi,p,beta
hct_vena_mean,M1,91,48,43,1,0.00898773452695861,1.50840901215528e-07,0.0541233890561583,0.0372830235084064,-0.216861696657816
hct_vena_mean,M2,105,55,50,1,0.0161080078435829,2.03124803284959e-09,0.0249156016245539,0.0441328810129301,-0.242573013400114
hct_vena_mean,M5,106,56,50,0,0.0225996282426302,1.97280220170965e-10,0.0194180474809053,0.0219809484830789,-0.763686280739101
hct_vena_mean,M20,107,57,50,0,0.0909572038051398,4.98952620557956e-08,0.04756259824497,0.0024146705737162,1.19367293784218
hct_vena_mean,M23,107,57,50,0,0.0338549069457031,7.57578982334606e-08,0.0558588422787724,0.0199378521025296,-0.975013100523926
hct_vena_mean,M29,106,56,50,1,0.0319979392421898,1.13346430283423e-05,0.0540127255500369,0.0467348990180439,1.07572749998284
hct_vena_mean,M30,107,57,50,0,0.043988359164969,1.14395326276674e-05,0.0685808366167255,0.00738032811095832,1.02073527245754
hct_vena_mean,M31,106,56,50,1,0.0920388267204235,1.47483955244339e-07,0.0245489330306206,0.000270148867504844,1.23276408494981
hct_vena_mean,M32,107,57,50,0,0.13951256620641,9.73861892856531e-07,0.0506479431434925,0.0200102710092877,0.735950401790301
hct_vena_mean,M33,107,57,50,0,0.0756024015670708,4.88146620848281e-10,0.0284488930401506,0.0130137300667758,0.884764543868641
hct_vena_mean,M45,106,56,50,1,0.188379012211669,1.66715532365717e-09,0.0190859418886059,0.0164477149305171,0.659075100370555
hct_vena_mean,M51,106,56,50,1,0.0728308323563906,1.06378655404961e-06,0.0197752276649485,0.0009410736032217,1.36535414129686
hct_vena_mean,M54,107,57,50,0,0.125435559587998,2.3945901029865e-05,0.090958998950391,0.0216008917473714,0.680156469427522
hct_vena_mean,M57,101,55,46,0,0.19634450753614,4.17965183056816e-09,0.0114468793201698,0.0255808712651738,0.928739184078264
hct_vena_mean,M58,107,57,50,0,0.0888461894192829,2.80376229566178e-07,0.0517031968566445,0.0308572481803699,0.68958701271479
hct_vena_mean,M59,107,57,50,0,0.0697902228366332,5.39010034747509e-08,0.106922043478109,0.0135508157986913,-1.01051185118093
hct_vena_mean,M60,107,57,50,0,0.0563418814624213,2.06576125360825e-08,0.0235117404351764,0.0122846125508284,0.817210179853723
hct_vena_mean,M61,107,57,50,0,0.0527553017457427,9.9434998936124e-08,0.0367996304205629,0.00289603853380419,1.15317181234303
