phenotype,metabolite,n,nm,nf,n_outlier,p_age,p_sex,p_bmi,p,beta
hct_vena_mean,M62,104,56,48,1,0.0375301771999268,3.95790087081149e-05,0.0449950627648187,0.0113442863720671,1.00760988853655
hct_vena_mean,M63,107,57,50,0,0.115271823555955,1.60833014584249e-06,0.0206732616649039,6.66904917980302e-07,1.5809906244757
hct_vena_mean,M64,107,57,50,0,0.0384194656678434,2.6926014172224e-06,0.047454530782033,0.000187832116871768,1.3540119178494
hct_vena_mean,M66,107,57,50,0,0.0374563730975027,9.26863709179598e-07,0.0239181995104545,4.49209843352905e-05,1.328741513502
hct_vena_mean,M69,107,57,50,0,0.0979903532788325,1.21486635324782e-09,0.0175492462840251,0.0275689448197715,0.701489607448991
hct_vena_mean,M70,107,57,50,0,0.0787855889716635,2.25021817057945e-08,0.0487022282066895,0.000130327344020522,1.57277858377632
hct_vena_mean,M73,107,57,50,0,0.170409935815855,9.35297124659045e-08,0.0129039557664209,0.0209862461190843,0.903269540049939
hct_vena_mean,M79,105,56,49,1,0.152018964150238,1.13968735045873e-06,0.0176076125273152,1.80723139457265e-05,1.81958505299671
hct_vena_mean,M82,107,57,50,0,0.0262603646602491,2.34185223243236e-06,0.0529033888870387,0.00010398089246375,1.49702559175011
hct_vena_mean,M83,103,56,47,0,0.0593867956222487,3.01300378883898e-08,0.0210156952402525,0.0377346145998898,0.777019604392666
hct_vena_mean,M87,107,57,50,0,0.0393462914029997,3.57779256234558e-07,0.0357288858989677,0.0406520385658478,0.842538939244997
hct_vena_mean,M88,106,56,50,1,0.138978876811344,5.2950689761141e-09,0.0183962823422245,0.0497214119946191,0.315369439090446
hct_vena_mean,M90,107,57,50,0,0.057290001532893,0.000184690110993249,0.0462851602463068,0.00016363670904872,1.42380270745602
hct_vena_mean,M91,106,56,50,1,0.158346054323328,0.00596956676980279,0.151229912841917,1.63391531528297e-05,1.98423651629937
hct_vena_mean,M94,107,57,50,0,0.0380377421783227,0.000197959183347516,0.0905694520340242,0.00479776767341292,1.08126417545079
hct_vena_mean,M95,107,57,50,0,0.122131252920315,1.81979128739764e-10,0.0125193589992789,0.0397617200651184,0.66803968068827
hct_vena_mean,M96,107,57,50,0,0.0398229860514659,1.23847017948941e-10,0.0121273327134523,0.00313983723103254,0.658256530331785
hct_vena_mean,M97,107,57,50,0,0.0374586788107262,2.76841612172696e-10,0.0134673503356237,0.0208682294395458,0.695982156398483
hct_vena_mean,M99,106,56,50,1,0.0611673558317158,4.63521106050342e-06,0.0568058951181602,0.00907810824673023,0.923400629164755
hct_vena_mean,M103,107,57,50,0,0.0377061554248235,8.6741703066592e-07,0.0374565184101158,0.000311513042321652,1.32414065878109
hct_vena_mean,M106,106,56,50,1,0.0595116221543989,2.22296145906837e-06,0.0462650909948935,0.0108000364352015,0.820880474424624
hct_vena_mean,M110,106,57,49,1,0.132913542837072,1.01471957704499e-09,0.003912285118052,0.00522675872277827,0.686026150451331
hct_vena_mean,M117,105,55,50,2,0.109997484084819,6.45235589579779e-08,0.0353731193032947,0.046949707218522,0.479694475401381
hct_vena_mean,M124,107,57,50,0,0.0283403343707395,5.5770161857274e-06,0.0484002885711986,0.00192196450324279,1.19958967293686
hct_vena_mean,M132,106,57,49,0,0.0536614173345032,0.000177234846732693,0.0394670215831223,0.0438915190576925,1.05740386535762
hct_vena_mean,M134,107,57,50,0,0.134882615075914,2.75955169540459e-06,0.0332576618275988,4.42044459785159e-10,1.91922747759576
hct_vena_mean,M141,107,57,50,0,0.125287761788624,1.45486067606906e-10,0.0116674394810635,0.0337371264846395,0.725792418470592
hct_vena_mean,M145,107,57,50,0,0.13616988009394,1.97128007834812e-08,0.047449674483412,0.0154668254595356,0.918765191610386
hct_vena_mean,M163,107,57,50,0,0.123186562947202,1.84549145029523e-09,0.0562314399562569,0.000379259774148823,1.23096630231441
hct_vena_mean,M164,107,57,50,0,0.153849784658022,1.89791166623235e-05,0.159151458608804,1.52813611568507e-05,1.70799955149963
hct_vena_mean,M165,107,57,50,0,0.330874121149692,1.11616209684109e-06,0.0905553899687532,2.94650802154461e-05,1.93476046043681
hct_vena_mean,M166,107,57,50,0,0.108866373813703,5.27999411007065e-10,0.00295006081060659,9.59927262314957e-06,1.57175627534462
hct_vena_mean,M168,107,57,50,0,0.19562374377623,1.49924043328417e-08,0.0136395907292785,0.00379044803443922,0.978816129119048
hct_vena_mean,M169,107,57,50,0,0.118901360879105,6.02216153352867e-09,0.0234950040863747,0.000577130191008753,1.19188791944358
hct_vena_mean,M215,107,57,50,0,0.09424405702603,3.07416310380595e-10,0.0350130804827567,0.0394403420774212,0.83289632513689
hct_vena_mean,M233,107,57,50,0,0.0481527584801307,7.62248175699397e-10,0.0149981574633511,0.0182130289932319,0.653842060617067
hct_vena_mean,M247,106,56,50,1,0.16749174242845,5.38527992808224e-11,0.0242909081789665,0.0211445358922574,0.982193095852775
hct_vena_mean,M254,107,57,50,0,0.0929427327901601,2.28606876505789e-08,0.0254112470215146,0.046153668843904,0.593246059669017
hct_vena_mean,M257,107,57,50,0,0.0563765336567615,2.54104007241131e-10,0.0105391747162135,0.0321839085810071,0.763540398455257
hct_vena_mean,M258,107,57,50,0,0.0354896788915471,3.38432752452239e-10,0.0100266133619571,0.0392612753461693,0.62065468372246
hct_vena_mean,M267,107,57,50,0,0.0364902681596951,2.60591454963349e-10,0.0305976286772858,0.00247161803910907,0.71685274304975
hct_vena_mean,M276,104,56,48,1,0.0431496518528098,8.12734917373745e-10,0.0120160302106781,0.0301994538327766,0.73181809145292
hct_vena_mean,M277,107,57,50,0,0.10089852640089,3.05609182881784e-10,0.0366884290270429,0.0305897931279286,0.774621053414878
hct_vena_mean,M278,104,56,48,1,0.0648116054862276,1.73170952705112e-09,0.0316246923014452,0.0371586813174366,0.26938134456069
hct_vena_mean,M280,103,55,48,0,0.132274516989362,9.86614610872887e-08,0.024454932759462,2.26767092789743e-07,1.71311003595859
hct_vena_mean,M281,107,57,50,0,0.037825095306242,8.62486318299477e-11,0.0345323097209743,0.0073074474130011,0.984866672480667
hct_vena_mean,M317,106,56,50,1,0.191415184079729,8.78677764833828e-10,0.0105469118535251,0.0368424590805272,0.504268824899799
hct_vena_mean,M322,106,56,50,0,0.0427170697027312,3.47048897814447e-10,0.0215882458499802,0.00261702007339232,0.668879987076897
hct_vena_mean,M323,107,57,50,0,0.127131154541706,1.4401448307174e-09,0.015812859990292,0.00307133701007752,0.86123986565083
hct_vena_mean,M337,107,57,50,0,0.0648736989173075,9.22167833933287e-11,0.0247353056190443,0.042300522804508,-0.821712852938644
hct_vena_mean,M341,106,56,50,1,0.01987588460821,9.86310432839677e-10,0.0412743835377993,0.0240728492075338,0.684354602469947
hct_vena_mean,M343,106,56,50,0,0.0891175112789029,5.9021042828189e-09,0.0387486352254087,0.0473825107185845,-0.873551341961811
hct_vena_mean,M345,101,55,46,0,0.096209132676949,1.31572535516101e-08,0.0473195158889341,1.18611823184234e-05,1.76757274994302
hct_vena_mean,M347,107,57,50,0,0.0890827957922188,1.93977120712076e-10,0.0397653637420146,0.00461741286692146,-1.02771706485268
hct_vena_mean,M348,107,57,50,0,0.0573303910676416,1.56698345291992e-10,0.0215467229830908,0.0321915923260399,-0.808945588304193
hct_vena_mean,M350,104,56,48,0,0.120588301515721,1.11339602355592e-09,0.0154506330977855,0.0442903466006005,0.799213087724507
hct_vena_mean,M351,107,57,50,0,0.0893821778784703,1.23192616847022e-10,0.0043647844965158,0.0309961927835984,1.29430217878791
hct_vena_mean,M354,107,57,50,0,0.047575090175856,2.01256998589912e-10,0.0406213679838105,0.0287997154076535,-0.870680040040077
hct_vena_mean,M355,99,54,45,0,0.051257047811933,1.75546208963206e-08,0.0331501975800896,5.34529703312217e-06,1.84038519381169
hct_vena_mean,M356,107,57,50,0,0.0755154658344204,4.54339270883775e-10,0.0457158012700604,0.00291341929812474,-1.27368176338292
hct_vena_mean,M358,104,56,48,0,0.0700103836972951,4.90228132121552e-09,0.00755720413708412,2.22355433295425e-05,1.47879070414954
hct_vena_mean,M371,99,52,47,0,0.0811293979408625,1.3228291624874e-05,0.22449613901916,0.00919167163381143,0.730523909062923
hct_vena_mean,M372,107,57,50,0,0.0714499134321246,1.66251087717613e-11,0.0127197135374902,0.000834148181635962,1.47135885258571
hct_vena_mean,M373,107,57,50,0,0.0818749279430488,1.45094508941367e-07,0.0401206924538986,0.0263145528574632,0.661159040649851
hct_vena_mean,M375,107,57,50,0,0.0677835062989986,1.19395567937139e-09,0.0290941361823704,7.56701413053413e-06,1.32548425213154
hct_vena_mean,M376,95,53,42,0,0.120072384293269,2.86013093658931e-10,0.0146070197831599,0.00011052115443861,1.31123336618703
hct_vena_mean,M380,106,56,50,0,0.0597218256697959,8.11742147593389e-11,0.0153324703397923,0.0415319511409041,0.826128758942093
hct_vena_mean,M389,107,57,50,0,0.0435600717419762,5.14511411115852e-07,0.0729144662686744,0.0189386435245143,0.540913927039568
hct_vena_mean,M397,62,30,32,0,0.809484962703084,8.86682654036438e-09,0.0358104738634526,0.0330782086665126,0.939241556004967
hct_vena_mean,M407,96,54,42,0,0.0548612294393789,5.84863681655489e-08,0.0146890057487632,2.48601468082426e-05,1.43880524217281
hct_vena_mean,M409,43,28,15,0,0.0186525904896714,0.00490167728084938,0.309897055062039,0.0195743444408647,0.348295389607186
hct_vena_mean,M413,104,57,47,0,0.0265692970997197,9.51978622504699e-10,0.0172118141231766,2.39844256572051e-06,1.36734448410582
hct_vena_mean,M414,107,57,50,0,0.77306092935769,2.08991043959618e-05,0.0136419109894436,1.31050884255804e-13,2.21491917018933
hct_vena_mean,M417,107,57,50,0,0.0811926567964045,7.45332533167481e-10,0.0134328254516945,0.0198990260289087,-1.04271824823147
hct_vena_mean,M420,46,29,17,0,0.356360686726145,1.36427150405094e-05,0.00384966326529768,0.00389123503647177,0.356252428796634
hct_vena_mean,M431,73,39,34,1,0.053522563145183,1.96375787955744e-08,0.0432143281644448,5.01191686326747e-05,0.313721072454787
hct_vena_mean,M434,85,44,41,1,0.0701262429642238,1.47138895635844e-08,0.633204118315102,0.00552474654050031,0.782177521955538
hct_vena_mean,M440,107,57,50,0,0.18036300917985,1.57943507580208e-07,0.0120176827945903,0.000133575758027322,1.38858901115587
hct_vena_mean,M441,107,57,50,0,0.179092869658373,7.52414266433361e-08,0.0105202436199973,0.000155197895895237,1.48900272827393
hct_vena_mean,M442,107,57,50,0,0.195055468158804,1.11788424131965e-07,0.0182471416255541,0.000122446035668151,1.37530006455568
hct_vena_mean,M443,107,57,50,0,0.138160106331129,6.89573402939706e-08,0.0269942310886886,0.00789113085276275,1.15504503900025
hct_vena_mean,M444,107,57,50,0,0.157184411946791,2.3304651029155e-08,0.0139977448179953,0.00751813658799474,1.14673408589616
hct_vena_mean,M445,107,57,50,0,0.177541392113662,1.47624334637909e-07,0.0196609348173398,0.000111837638202212,1.39279171959013
hct_vena_mean,M446,97,55,42,0,0.235941284666654,6.31831602810238e-08,0.0262032970694836,0.00136731328679072,1.25022990195759
hct_vena_mean,M447,107,57,50,0,0.0681733665479334,3.89405915542694e-10,0.0247125123607086,0.00402358854959916,-1.20898976179042
hct_vena_mean,M449,42,23,19,0,0.287353883784774,7.91207111586317e-07,0.0302549552109931,0.00512390712242872,0.485305928536946
hct_vena_mean,M453,107,57,50,0,0.0605206170630999,5.06533100351436e-09,0.0436588653597596,0.00103342464497389,-1.52309850754656
hct_vena_mean,M455,86,45,41,0,0.156566114228323,9.51632692610868e-08,0.193075056181917,0.038098538135684,-0.97197515051496
hct_vena_mean,M456,106,56,50,1,0.176924581168051,6.48896873510842e-07,0.0320103825105115,0.0278498998483504,0.714203454498064
hct_vena_mean,M458,106,56,50,0,0.0657387739655225,4.68285072959183e-11,0.0227833161686494,5.0321283789935e-05,1.82696598251466
hct_vena_mean,M459,106,57,49,1,0.0598939016766706,3.05517192231113e-10,0.0242747539562612,0.044707082180793,0.555091819425834
hct_vena_mean,M460,107,57,50,0,0.344291971991987,3.03732870761637e-06,0.0271862548026054,7.98961991219322e-05,1.36313160144567
hct_vena_mean,M463,107,57,50,0,0.14190926298936,1.65254326736228e-07,0.031449634876346,0.00020245506696521,1.50267718024216
hct_vena_mean,M464,107,57,50,0,0.157372671352676,1.48651482324066e-07,0.0189844901676027,0.000236982280500359,1.46663723432461
hct_vena_mean,M472,107,57,50,0,0.101899039990759,5.96553084667571e-08,0.0297204647505152,0.0108222209517514,1.15010977010229
hct_vena_mean,M474,88,44,44,1,0.0745211681656322,3.11858457414634e-09,0.783708848231747,0.0145319622170899,0.592800836624657
hct_vena_mean,M475,104,56,48,1,0.0473237527398519,1.2878548108999e-08,0.0160324573721038,0.00371188749010784,-1.25715472217097
hct_vena_mean,M481,107,57,50,0,0.234101669899764,1.7765805808216e-07,0.0142936698055994,0.000369864236627704,1.61305413045196
hct_vena_mean,M482,107,57,50,0,0.223681986502927,1.84267552576615e-07,0.0157534855040027,0.000552587237408276,1.64701077580681
hct_vena_mean,M483,107,57,50,0,0.209830514211103,1.10108309119874e-07,0.0144926828799793,0.000406985421470073,1.44857723807071
hct_vena_mean,M484,107,57,50,0,0.147108927018459,1.04744200809653e-08,0.0119830658895295,0.0370396075521409,0.913165988378379
hct_vena_mean,M486,105,57,48,0,0.327961138808531,6.42728739838288e-08,0.0066966274702371,0.000681683020837777,1.43687133153282
hct_vena_mean,M490,107,57,50,0,0.0706601689749503,4.98914261322781e-09,0.0301697601804314,0.0390853371933704,0.49571259811772
hct_vena_mean,M494,106,56,50,0,0.0336300968201301,6.140306787208e-11,0.0535608645867964,0.000193029307322874,1.67591672024217
hct_vena_mean,M496,106,57,49,0,0.109186904013438,4.48007126143942e-12,0.00415284714937348,0.000278484611279234,-1.42317670706134
hct_vena_mean,M497,107,57,50,0,0.127632100700615,4.48276887905174e-08,0.0223135549054078,0.010928668096111,1.19990309853802
hct_vena_mean,M498,104,56,48,0,0.025182741362732,1.62101303336149e-10,0.0304102675418797,0.00124057343611601,1.5604433835593
hct_vena_mean,M501,107,57,50,0,0.169924974489085,4.84761917386454e-08,0.0108660290536334,0.000261974627534047,1.41665932461161
hct_vena_mean,M502,107,57,50,0,0.149941535874676,2.67447134885929e-08,0.00887283578319783,0.000283819484791776,1.38774883196395
hct_vena_mean,M503,107,57,50,0,0.206703997115287,3.44713800384218e-06,0.0558336119231306,6.08904114033767e-06,1.16675392889353
hct_vena_mean,M506,107,57,50,0,0.119518981368176,7.30951423130566e-09,0.0139703720795551,0.0293100647709478,0.978921413499239
hct_vena_mean,M507,101,54,47,0,0.0332613311238973,2.95875008180834e-10,0.0105559314556575,0.0418459923915524,0.972415660945546
hct_vena_mean,M508,105,56,49,0,0.0625249300402107,6.8165965502157e-11,0.00842326638094763,0.00431248388555855,-1.240992147942
hct_vena_mean,M509,107,57,50,0,0.153155827495148,4.77174546421199e-08,0.0152838851567866,0.000278595544384157,1.49706118104488
hct_vena_mean,M510,107,57,50,0,0.148827964001658,4.26140752781676e-08,0.0179609062679471,0.000278196763887831,1.31307987675061
hct_vena_mean,M511,107,57,50,0,0.35467285200215,8.239243503996e-06,0.0409313524817512,3.87062155708944e-05,1.54158654384078
hct_vena_mean,M512,107,57,50,0,0.122690030338742,2.04990334689309e-08,0.0218608877328699,0.00776097311543606,1.09739902377786
hct_vena_mean,M514,107,57,50,0,0.167555206076768,4.64776842106689e-08,0.0142257039399748,0.000130120603765037,1.50029806013069
hct_vena_mean,M516,49,24,25,1,0.398806926497441,1.07278964568818e-07,0.00322960555762422,0.00202738013953358,0.226687149631032
hct_vena_mean,M518,107,57,50,0,0.0455522743330381,4.50206448730839e-12,0.0268332006243341,3.93279476678276e-06,1.60779474485431
hct_vena_mean,M520,106,56,50,0,0.0598116234387744,1.77465178840737e-10,0.0341229575220153,0.0189807325316679,0.964475572356951
hct_vena_mean,M521,107,57,50,0,0.119224272838421,1.13430338479635e-11,0.00467439067554528,0.00329655855970042,-1.16579922270014
hct_vena_mean,M522,107,57,50,0,0.0606512442185878,1.85689758235287e-10,0.0267872676897491,0.0142741867737617,0.968693281398001
hct_vena_mean,M526,32,16,16,0,0.823141926073636,1.3231013515462e-05,0.0169538424593277,0.0190625640443562,0.241650283937671
hct_vena_mean,M527,107,57,50,0,0.197351543176948,1.19011613011662e-07,0.0128554374780158,0.00136575503829953,1.59167147056617
hct_vena_mean,M528,107,57,50,0,0.169901263213706,2.9426783214226e-08,0.0115958794978939,0.00886727949831725,1.21494357320442
hct_vena_mean,M529,107,57,50,0,0.2052229116456,9.36859076510406e-08,0.0115705523899703,0.00152916047876941,1.52431755075348
hct_vena_mean,M532,106,56,50,1,0.0493127502688234,9.31260108598458e-10,0.0316143225446765,0.0221839730964224,-1.05890326694588
hct_vena_mean,M533,107,57,50,0,0.0552721333776094,2.61179633666280e-09,0.0348529326101053,0.00632996805027236,-1.09891335724772
hct_vena_mean,M536,107,57,50,0,0.0563254025135393,4.249208475979e-09,0.0143468186503596,0.000136797441717581,-1.67845513314953
hct_vena_mean,M542,93,49,44,0,0.215085453065886,6.4533304640238e-10,0.14625457537093,0.00536272082341705,-0.929086786678832
hct_vena_mean,M543,106,56,50,1,0.0962374239803952,7.87327919568358e-06,0.0352824683273368,0.000778314648302321,1.29721209928176
hct_vena_mean,M545,105,55,50,1,0.0608891837648542,8.26652269257877e-11,0.060582034383952,0.018266965068321,1.05838197127373
hct_vena_mean,M546,107,57,50,0,0.161004866160132,5.29116473716222e-07,0.0249060765285473,0.00808752772838604,1.44191915123436
hct_vena_mean,M549,101,52,49,0,0.0519379122695388,1.36243777300257e-10,0.0228452576148316,8.97187265307144e-06,1.51351071617512
hct_vena_mean,M550,107,57,50,0,0.079444953954776,3.0806048964416e-11,0.00634545808202074,0.00367622206192642,1.0474508398561
hct_vena_mean,M551,107,57,50,0,0.126447519688734,6.58554194352367e-07,0.0206785829069049,0.00011041059574369,1.74776283172445
hct_vena_mean,M552,107,57,50,0,0.149888588182443,7.51629641423459e-08,0.017708154472003,0.000294544595213854,1.50692299957507
hct_vena_mean,M553,107,57,50,0,0.14321351149037,3.07626094985728e-08,0.0175324020118681,0.000531281833610854,1.3866124787789
hct_vena_mean,M554,107,57,50,0,0.119428026072305,2.77591012548888e-08,0.01584622247245,0.000541547115589629,1.39513089507278
hct_vena_mean,M555,107,57,50,0,0.111526058000759,2.61993208581022e-08,0.0169064245786974,0.00307813928922241,1.15006757325606
hct_vena_mean,M556,107,57,50,0,0.0415239939995226,3.31547689403218e-08,0.0383660533504479,0.000232222929666249,-1.54702055138023
hct_vena_mean,M563,107,57,50,0,0.109531508174149,1.05203187699429e-08,0.0111721259274831,0.00033906995759796,-1.38407256833728
hct_vena_mean,M566,107,57,50,0,0.160712593400348,1.37149451086764e-06,0.0184505435403311,0.00662146303739901,1.4018398868474
hct_vena_mean,M567,107,57,50,0,0.179921264147451,7.76615610632432e-07,0.0474340799772891,0.00134418400466082,1.64865920485714
hct_vena_mean,M578,105,55,50,2,0.286615837467625,2.37476913704063e-06,0.0668043465976516,0.00258822936534593,0.610891278452568
hct_vena_mean,M580,107,57,50,0,0.0749373355445622,2.61474651960018e-09,0.0119776650456844,0.0279368633867159,0.747334776588509
hct_vena_mean,M582,107,57,50,0,0.00479696113032151,4.26016057231326e-09,0.0143246900429739,0.0134059410852006,0.785988793355511
hct_vena_mean,M583,107,57,50,0,0.0831877047252764,3.45043546477816e-07,0.0392019770591115,0.00775144060184848,-1.02709321413552
hct_vena_mean,M586,98,48,50,0,0.194945225340117,1.31074186090301e-07,0.0466654019208094,0.0354728605087464,0.746248456720832
hct_vena_mean,M587,107,57,50,0,0.0709651859156904,4.90031375921882e-10,0.0173507169372039,0.0072810198523936,1.02261322312261
hct_vena_mean,M590,107,57,50,0,0.0627361119841459,1.17208649537636e-07,0.0188407371074858,0.00449549008768101,-1.07704023206494
hct_vena_mean,M594,107,57,50,0,0.0542825036327071,8.92511942099672e-11,0.0236863121629359,0.0344336746951554,0.778394539900611
hct_vena_mean,M596,107,57,50,0,0.109060334498864,1.15964183298957e-08,0.0235123596332177,0.0149125150206663,0.97499299427187
hct_vena_mean,M597,106,57,49,1,0.0345678978542451,5.4360719769546e-11,0.0485618244493235,8.93978264347316e-05,1.1749324220062
hct_vena_mean,M598,107,57,50,0,0.0756338115244064,1.77843892686606e-09,0.0134301234274613,0.0162505119284076,0.792988312436962
hct_vena_mean,M599,107,57,50,0,0.0713883530135917,2.34403267554532e-09,0.0106192133431705,0.0222732908817593,0.776787224179169
hct_vena_mean,M600,107,57,50,0,0.0662254866392332,2.12212685285757e-09,0.0112150426427887,0.020758081339627,0.751108392996901
hct_vena_mean,M601,107,57,50,0,0.008474636626863,9.67416137592352e-10,0.0181250350196105,0.0384596962753727,0.676522158175671
hct_vena_mean,M603,106,56,50,0,0.0376935897233543,5.49919162624254e-05,0.0139425661796382,0.000229976193739202,1.54301967133607
hct_vena_mean,M604,107,57,50,0,0.221207413502988,4.60384047978615e-07,0.0571861336661598,2.64946169687338e-06,1.67845833888769
hct_vena_mean,M611,107,57,50,0,0.198182058365417,8.512953287706e-08,0.00600984371254106,5.89177679970948e-05,1.22760945725611
hct_vena_mean,M617,107,57,50,0,0.203307370079183,8.17921825175914e-09,0.00570457984786133,0.000500472584891676,-1.48539080803684
hct_vena_mean,M620,107,57,50,0,0.264300364593192,2.4226627290082e-07,0.020344591185559,2.72230022172863e-06,1.43420190974702
hct_vena_mean,M622,106,56,50,0,0.0886849358626659,4.23076436745766e-11,0.0244927578994611,0.0158179558885098,-0.976096065021715
hct_vena_mean,M623,107,57,50,0,0.0702604350088383,7.00265412143804e-10,0.0236167403439572,0.0262885601899647,0.822548167104425
hct_vena_mean,M625,104,54,50,0,0.0936478872904662,1.63279233467538e-11,0.0178651035701313,0.00104418664869323,1.16425474625371
hct_vena_mean,M626,106,56,50,0,0.0533853091938102,9.7172349419834e-10,0.01979526152544,0.00929086559275196,1.01567783606781
hct_vena_mean,M627,105,55,50,0,0.130509776524789,3.85284999765211e-08,0.0247863347139038,0.0238040181800286,0.482472447409676
hct_vena_mean,M628,97,51,46,1,0.0611718633756421,1.23574754332675e-08,0.0380209226213483,0.000903593503924522,0.922237584092963
hct_vena_mean,M631,73,41,32,0,0.153922866557769,3.48553318264216e-07,0.0554219088122594,0.0302758200079906,0.976335326894135
hct_vena_mean,M632,106,56,50,0,0.109095544373156,3.33042584354798e-12,0.0137237834807588,0.000112898510381309,1.2433294285788
hct_vena_mean,M633,101,54,47,1,0.0513928997834278,5.08401369510577e-09,0.0161475868263378,0.0229759267125628,0.611153692422193
hct_vena_mean,M634,96,50,46,1,0.0629817413377732,2.57900310118935e-08,0.02134828002674,0.041846439572323,0.561163030816964
hct_vena_mean,M646,107,57,50,0,0.073765591404828,2.6018664744328e-08,0.0095846827995102,0.0127476449509161,0.857085490185333
hct_vena_mean,M651,107,57,50,0,0.104025235716534,3.66669353465462e-09,0.0261368384459135,0.0330280977071884,-0.815874536509677
hct_vena_mean,M653,107,57,50,0,0.0606649678264676,7.44801586579662e-10,0.0783685323053746,0.00940677465043869,-0.83491669194259
hct_vena_mean,M655,107,57,50,0,0.0854277270553883,3.32503042246947e-09,0.0104676309180819,0.0205752843288545,0.81889775399583
hct_vena_mean,M660,107,57,50,0,0.0617193259802707,6.64144801712834e-09,0.03381800469302,0.0182393795146767,-0.934841249264047
hct_vena_mean,M666,107,57,50,0,0.0955653243233109,4.12820257986309e-11,0.00551551104396665,0.0225706993092593,-0.856914567307858
hct_vena_mean,M667,107,57,50,0,0.0771273252817556,1.9136482428536e-08,0.0146472534108871,0.0106619713119006,-1.02140197046775
hct_vena_mean,M671,107,57,50,0,0.0821589220452499,1.32365068843658e-09,0.027126848774778,0.0257738956504511,-0.7079933540291
hct_vena_mean,M673,107,57,50,0,0.146126866337719,6.32722587790267e-11,0.0112296242292613,0.0368355332694516,-0.817642001813393
hct_vena_mean,M678,106,56,50,1,0.110235009019835,5.12022710999265e-08,0.0301140131967825,0.0323862741501711,-0.827068027055119
hct_vena_mean,M679,104,56,48,0,0.00227204611522265,2.89501070662953e-08,0.0552377347959064,0.0019552176855388,1.0239840516473
hct_vena_mean,M680,107,57,50,0,0.0964049202207111,1.51932833450711e-08,0.0263473956545686,0.0316589474597349,0.877973822706473
hct_vena_mean,M684,106,56,50,0,0.169539937522512,2.13945263050591e-06,0.0306884834489614,1.97608475932282e-07,1.82520047008466
hct_vena_mean,M687,107,57,50,0,0.213292088857765,5.10957664849972e-07,0.0243499932478663,1.8363383639142e-07,1.96551218766903
hct_vena_mean,M688,86,45,41,0,0.156250987430403,0.00305756342691726,0.596451833831477,0.0399833675344422,1.31511238009713
hct_vena_mean,M691,107,57,50,0,0.115791042508926,4.09356166239218e-07,0.0208265122327132,9.39231054358192e-05,1.44689367378417
hct_vena_mean,M692,107,57,50,0,0.282899470142362,1.32580542286416e-07,0.013078994523362,1.97058878184245e-06,1.55187902727256
hct_vena_mean,M693,107,57,50,0,0.326002622216798,4.74618834851197e-08,0.00601912640405003,1.17370263863984e-05,1.4101233795665
hct_vena_mean,M695,107,57,50,0,0.124326903731525,2.64226421074245e-07,0.00871760181531699,0.00012237454943385,1.30593892650078
